Nama,Kategori,Jumlah Porsi,Takaran Porsi,Kalori (kal),Lemak (g),Lemak Jenuh (g),Lemak Tak Jenuh Ganda (g),Lemak Tak Jenuh Tunggal (g),Kolestrol (g),Protein (g),Karbohidrat (g),Serat (g),Gula (g),Sodium (g),Kalium (g)
Alpukat,Buah Buahan,1.0,gram (g),0.24012158054711247,0.227061376317421,0.037156139676325625,0.14921939194741168,0.6476964769647697,0.0,0.055944055944055944,0.10356969402622632,0.08072289156626507,0.010153846153846156,0.0037095919448860626,0.2780963302752294
Guacamole,Buah Buahan,0.0,sdm,0.031914893617021274,0.03208307501549908,0.0052780593519521826,0.021199671322925228,0.09207482318725628,0.0,0.008111888111888111,0.015055852355512385,0.012048192771084338,0.0015384615384615387,0.011658717541070483,0.03956422018348624
Guacamole dengan Tomat,Buah Buahan,1.0,gram (g),0.17325227963525835,0.15390576565406078,0.02527176762557237,0.10336894001643386,0.4379007204706194,0.0,0.04531468531468532,0.09276347741622147,0.05903614457831326,0.02107692307692308,0.10651828298887123,0.22534403669724773
Guacamole dengan Tomat dan Cabe Paprika,Buah Buahan,0.0,mangkok,0.4012158054711246,0.351983880967142,0.05774406655248347,0.2368118323746919,1.0,0.0,0.10545454545454545,0.21551724137931036,0.13734939759036147,0.050923076923076925,0.24324324324324326,0.5235091743119267
Buah Anggur,Buah Buahan,0.0,tanpa biji,0.0015197568389057749,0.0,5.2431053165087906e-05,0.00016433853738701728,0.0,0.0,0.0011188811188811189,0.010927634774162216,0.0,0.011846153846153847,0.0,0.005733944954128441
"Anggur (Merah atau Hijau, Jenis Varietas Eropa Seperti Thompson tanpa Biji)",Buah Buahan,1.0,gram (g),0.10182370820668693,0.002324860508369498,0.0009437589569715822,0.003944124897288414,0.0004626875537048054,0.0,0.02013986013986014,0.2197668771248179,0.010843373493975905,0.23815384615384616,0.0010598834128245894,0.10951834862385322
Anggur Jenis Amerika (Kulit Licin),Buah Buahan,0.0,anggur,0.0,0.0,5.2431053165087906e-05,0.00016433853738701728,0.0,0.0,0.0005594405594405594,0.004978144730451675,0.0,0.006,0.0,0.0028669724770642203
Anggur Jenis Eropa,Buah Buahan,0.0,tanpa biji,0.0015197568389057749,0.0,5.2431053165087906e-05,0.00016433853738701728,0.0,0.0,0.0011188811188811189,0.010927634774162216,0.0,0.011846153846153847,0.0,0.005733944954128441
Apel,Buah Buahan,0.0,sedang (diameter 7 cm) (kira-kira 3 per 450 g),0.10638297872340426,0.003409795412275264,0.0006816036911461427,0.005751848808545605,0.0006609822195782934,0.0,0.01006993006993007,0.23142302088392422,0.03975903614457831,0.22061538461538463,0.0005299417064122947,0.08486238532110092
Apel (tanpa Kulit),Buah Buahan,1.0,gram (g),0.06990881458966565,0.0018598884066955987,0.0003670173721556153,0.0030402629416598193,0.0003304911097891467,0.0,0.007552447552447553,0.15492957746478875,0.01566265060240964,0.1553846153846154,0.0,0.051605504587155966
